Konto-Nr.,Kontenbezeichnung,Kontenkategorie,Kontenunterart,Kontoart,Handlungshilfe,Standard-Ggkto.,UStVA_Kennz.,Steuerschluessel,USt_Berichtskat.,Automatikkonto,Bilanzposition_Aktiva,Bilanzposition_Passiva,GuV_Position
4124,Geschäftsführergehälter der GmbH-Gesellschafter,Betriebsausgabe,Personalkosten,Aufwandskonto,Bruttogehälter für Gesellschafter-Geschäftsführer.,1740,,,,Nein,,,6.a) Löhne und Gehälter
4126,Tantiemen Gesellschafter-Geschäftsführer,Betriebsausgabe,Personalkosten,Aufwandskonto,Erfolgsabhängige Vergütungen für Gesellschafter-Geschäftsführer.,1740,,,,Nein,,,6.a) Löhne und Gehälter
4127,Geschäftsführergehälter,Betriebsausgabe,Personalkosten,Aufwandskonto,Bruttogehälter für Fremdgeschäftsführer.,1740,,,,Nein,,,6.a) Löhne und Gehälter
4129,Tantiemen Arbeitnehmer,Betriebsausgabe,Personalkosten,Aufwandskonto,Erfolgsabhängige Vergütungen für Arbeitnehmer.,1740,,,,Nein,,,6.a) Löhne und Gehälter
4130,Gesetzliche soziale Aufwendungen,Betriebsausgabe,Personalkosten,Aufwandskonto,"Arbeitgeberanteile zur Sozialversicherung (Kranken-, Renten-, Arbeitslosen-, Pflegeversicherung).",1742,,,,Nein,,,6.b) Soziale Abgaben und Aufwendungen für Altersversorgung
4138,Beiträge zur Berufsgenossenschaft (Personal),Betriebsausgabe,Personalkosten,Aufwandskonto,Beiträge zur gesetzlichen Unfallversicherung.,1742,,,,Nein,,,6.b) Soziale Abgaben...
4139,Ausgleichsabgabe i.S.d. Schwerbehindgesetzes,Betriebsausgabe,Personalkosten,Aufwandskonto,Abgabe für die Nichtbeschäftigung von Schwerbehinderten.,1742,,,,Nein,,,6.b) Soziale Abgaben...
4140,Freiwillige soziale Aufwendungen - lohnsteuerfrei,Betriebsausgabe,Personalkosten,Aufwandskonto,"Lohnsteuerfreie freiwillige Leistungen wie Zuschüsse für Kindergarten, Erholungsbeihilfen.",1200,,,,Nein,,,6.b) Soziale Abgaben...
4141,Sonstige soziale Abgaben,Betriebsausgabe,Personalkosten,Aufwandskonto,Sonstige gesetzliche Abgaben wie Umlage U1/U2/Insolvenzgeld.,1742,,,,Nein,,,6.b) Soziale Abgaben...
4144,Soziale Abgaben für Minijobber,Betriebsausgabe,Personalkosten,Aufwandskonto,Pauschale Kranken- und Rentenversicherungsbeiträge für geringfügig Beschäftigte.,1742,,,,Nein,,,6.b) Soziale Abgaben...
4145,Freiwillige soziale Aufwendungen - lohnsteuerpflichtig,Betriebsausgabe,Personalkosten,Aufwandskonto,"Lohnsteuerpflichtige freiwillige Leistungen, gelten als Arbeitslohn.",1740,,,,Nein,,,6.a) Löhne und Gehälter
4146,Freiwillige Zuwendungen an Minijobber,Betriebsausgabe,Personalkosten,Aufwandskonto,"Freiwillige, steuerpflichtige Leistungen an Minijobber.",1740,,,,Nein,,,6.a) Löhne und Gehälter
4147,Freiwillige Zuwendungen an Gesellschafter-Geschäftsführer,Betriebsausgabe,Personalkosten,Aufwandskonto,"Freiwillige, steuerpflichtige Leistungen an Gesellschafter-Geschäftsführer.",1740,,,,Nein,,,6.a) Löhne und Gehälter
4148,Freiwillige Zuwendungen an angestellte Mitunternehmer § 15 EStG,Betriebsausgabe,Personalkosten,Aufwandskonto,"Freiwillige, steuerpflichtige Leistungen an angestellte Mitunternehmer.",1740,,,,Nein,,,6.a) Löhne und Gehälter
4149,Pauschale Steuer auf sonstige Bezüge (z.B. Fahrtkostenzuschüsse),Betriebsausgabe,Personalkosten,Aufwandskonto,Vom Arbeitgeber übernommene pauschale Lohnsteuer nach § 40 EStG.,1741,,,,Nein,,,6.a) Löhne und Gehälter
4150,Krankengeldzuschüsse,Betriebsausgabe,Personalkosten,Aufwandskonto,Freiwillige Zuschüsse des Arbeitgebers zum Krankengeld.,1740,,,,Nein,,,6.a) Löhne und Gehälter
4151,Sachzuwendungen und Dienstleistungen an Minijobber,Betriebsausgabe,Personalkosten,Aufwandskonto,Steuerpflichtige Sachbezüge an Minijobber.,1740,,,,Nein,,,6.a) Löhne und Gehälter
4152,Sachzuwendungen und Dienstleistungen an Arbeitnehmer,Betriebsausgabe,Personalkosten,Aufwandskonto,"Steuerpflichtige Sachbezüge (z.B. Firmenwagen, Gutscheine) an Arbeitnehmer.",1740,,,,Nein,,,6.a) Löhne und Gehälter
4153,Sachzuwendungen und Dienstleistungen an Gesellschafter-Geschäftsführer,Betriebsausgabe,Personalkosten,Aufwandskonto,Steuerpflichtige Sachbezüge an Gesellschafter-Geschäftsführer.,1740,,,,Nein,,,6.a) Löhne und Gehälter
4154,Sachzuwendungen und Dienstleistungen an angestellte Mitunternehmer § 15 EStG,Betriebsausgabe,Personalkosten,Aufwandskonto,Steuerpflichtige Sachbezüge an angestellte Mitunternehmer.,1740,,,,Nein,,,6.a) Löhne und Gehälter
4155,Zuschüsse der Agenturen für Arbeit (Haben),Einnahme,Personalkosten (Minderung),Ertragskonto,"Erhaltene Lohnkostenzuschüsse (z.B. Kurzarbeitergeld, Eingliederungszuschüsse), die den Personalaufwand mindern.",1200,,,,Nein,,,6.a) Löhne und Gehälter (als Minderung)
4156,Aufwendungen aus der Veränderung von Urlaubsrückstellungen,Betriebsausgabe,Personalkosten,Aufwandskonto,Aufwand aus der Zuführung bzw. Ertrag aus der Auflösung von Urlaubsrückstellungen.,0961,,,,Nein,,,6.a) Löhne und Gehälter
4157,Aufwendungen aus der Veränderung von Urlaubsrückstellungen für Geschäftsführer,Betriebsausgabe,Personalkosten,Aufwandskonto,"Wie 4156, speziell für Geschäftsführer.",0961,,,,Nein,,,6.a) Löhne und Gehälter
4158,Aufwendungen aus der Veränderung von Urlaubsrückstellungen für angestellte Mitunternehmer § 15 EStG (mit Sonderbetriebseinnahme korrespondierend),Betriebsausgabe,Personalkosten,Aufwandskonto,"Wie 4156, speziell für angestellte Mitunternehmer.",0961,,,,Nein,,,6.a) Löhne und Gehälter
4159,Aufwendungen aus der Veränderung von Urlaubsrückstellungen für Minijobber,Betriebsausgabe,Personalkosten,Aufwandskonto,"Wie 4156, speziell für Minijobber.",0961,,,,Nein,,,6.a) Löhne und Gehälter
4160,Versorgungskassen,Betriebsausgabe,Personalkosten,Aufwandskonto,Beiträge an Pensions- oder Unterstützungskassen.,1742,,,,Nein,,,6.b) Soziale Abgaben...
4165,Aufwendungen für Altersversorgung (Direktversicherung),Betriebsausgabe,Personalkosten,Aufwandskonto,"Beiträge für betriebliche Altersvorsorge (z.B. Direktversicherung, Pensionsfonds).",1742,,,,Nein,,,6.b) Soziale Abgaben...
4166,Aufwendungen für Altersversorgung für Gesellschafter-Geschäftsführer,Betriebsausgabe,Personalkosten,Aufwandskonto,"Wie 4165, speziell für Gesellschafter-Geschäftsführer.",1742,,,,Nein,,,6.b) Soziale Abgaben...
4167,Pauschale Lohnsteuer auf sonstige Bezüge (z.B. Direktversicherung),Betriebsausgabe,Personalkosten,Aufwandskonto,Vom Arbeitgeber übernommene pauschale Lohnsteuer nach § 40b EStG.,1741,,,,Nein,,,6.a) Löhne und Gehälter
4168,Aufwendungen für die Alterversorgung für Mitunternehmer § 15 EStG,Betriebsausgabe,Personalkosten,Aufwandskonto,"Wie 4165, speziell für angestellte Mitunternehmer.",1742,,,,Nein,,,6.b) Soziale Abgaben...
4169,Aufwendungen für Unterstützung,Betriebsausgabe,Personalkosten,Aufwandskonto,"Unterstützungsleistungen an (ehemalige) Arbeitnehmer, z.B. bei Notfällen.",1200,,,,Nein,,,6.b) Soziale Abgaben...
4170,Vermögenswirksame Leistungen,Betriebsausgabe,Personalkosten,Aufwandskonto,Arbeitgeberanteil zu vermögenswirksamen Leistungen.,1750,,,,Nein,,,6.a) Löhne und Gehälter
4175,Fahrtkostenerstattung - Fahrten Wohnung/Arbeitsstätte,Betriebsausgabe,Personalkosten,Aufwandskonto,Steuerpflichtige oder pauschal versteuerte Zuschüsse des Arbeitgebers.,1740,,,,Nein,,,6.a) Löhne und Gehälter
4180,Bedienungsgelder,Betriebsausgabe,Personalkosten,Aufwandskonto,"Trinkgelder, die als Betriebsausgabe behandelt werden (z.B. bei Verteilung durch Arbeitgeber).",1740,,,,Nein,,,6.a) Löhne und Gehälter
4190,Aushilfslöhne,Betriebsausgabe,Personalkosten,Aufwandskonto,Löhne für kurzfristig Beschäftigte.,1740,,,,Nein,,,6.a) Löhne und Gehälter
4194,Pauschale Steuer für Minijobber,Betriebsausgabe,Personalkosten,Aufwandskonto,Pauschale Lohnsteuer (2%) für geringfügig Beschäftigte.,1741,,,,Nein,,,6.b) Soziale Abgaben...
4195,Löhne für Minijobs,Betriebsausgabe,Personalkosten,Aufwandskonto,Bruttolöhne für geringfügig Beschäftigte (Minijobber).,1740,,,,Nein,,,6.a) Löhne und Gehälter
4196,Pauschale Steuer für Gesellschafter-Geschäftsführer,Betriebsausgabe,Personalkosten,Aufwandskonto,Vom Arbeitgeber übernommene pauschale Lohnsteuer für Gesellschafter-Geschäftsführer.,1741,,,,Nein,,,6.a) Löhne und Gehälter
4197,Pauschale Steuern für angestellte Mitunternehmer § 15 EStG,Betriebsausgabe,Personalkosten,Aufwandskonto,Vom Arbeitgeber übernommene pauschale Lohnsteuer für angestellte Mitunternehmer.,1741,,,,Nein,,,6.a) Löhne und Gehälter
4198,Pauschale Steuern für Arbeitnehmer,Betriebsausgabe,Personalkosten,Aufwandskonto,Sammelkonto für pauschale Lohnsteuern.,1741,,,,Nein,,,6.a) Löhne und Gehälter
4199,Pauschale Steuer für Aushilfen,Betriebsausgabe,Personalkosten,Aufwandskonto,Pauschale Lohnsteuer für kurzfristig Beschäftigte nach § 40a Abs. 1 EStG.,1741,,,,Nein,,,6.a) Löhne und Gehälter
4200,Raumkosten,Betriebsausgabe,Raumkosten,Aufwandskonto,Sammelkonto für Raumkosten.,1600,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
4210,Büromiete / betriebliche Räume und Nutzungsflächen,Betriebsausgabe,Raumkosten,Aufwandskonto,"Miete für Geschäftsräume, Büros, Lagerhallen etc.",1600,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
4211,"Aufwendungen für gemietete oder gepachtete unbewegliche Wirtschaftsgüter, die gewerbesteuerlich hinzuzurechnen sind",Betriebsausgabe,Raumkosten,Aufwandskonto,"Anteil der Miete/Pacht, der bei der Gewerbesteuer hinzugerechnet wird.",1600,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
4212,Miete/Aufwendungen für doppelte Haushaltsführung,Betriebsausgabe,Raumkosten,Aufwandskonto,Abzugsfähige Mietkosten im Rahmen einer doppelte Haushaltsführung.,1200,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
4215,Leasing (unbewegliche Wirtschaftsgüter),Betriebsausgabe,Raumkosten,Aufwandskonto,"Leasingraten für Gebäude, Grundstücke (Operating Leasing).",1600,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
4220,Pacht (unbewegliche Wirtschaftsgüter),Betriebsausgabe,Raumkosten,Aufwandskonto,Pacht für Grundstücke und Gebäude.,1600,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
4250,Reinigung,Betriebsausgabe,Raumkosten,Aufwandskonto,"Kosten für die Reinigung von Betriebsräumen (Personal, Material, Fremdfirmen).",1600,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
4260,Instandhaltung betrieblicher Räume,Betriebsausgabe,Reparatur/Instandhaltung,Aufwandskonto,Kleinere Reparaturen und Schönheitsreparaturen in Betriebsräumen.,1600,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
4270,Abgaben für betrieblich genutzten Grundbesitz,Betriebsausgabe,Betriebliche Steuern,Aufwandskonto,"Öffentliche Abgaben wie Müllabfuhr, Straßenreinigung (ohne Grundsteuer).",1736,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
4280,Sonstige Raumkosten,Betriebsausgabe,Raumkosten,Aufwandskonto,"Auffangkonto für Raumkosten, z.B. Schornsteinfeger.",1600,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
4288,Aufwendungen für ein häusliches Arbeitszimmer (abziehbarer Anteil),Betriebsausgabe,Raumkosten,Aufwandskonto,Steuerlich abzugsfähiger Teil der Kosten für ein häusliches Arbeitszimmer.,,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
4289,Aufwendungen für ein häusliches Arbeitszimmer (nicht abziehbarer Anteil),Betriebsausgabe,Nicht abzugsfähige Betriebsausgaben,Aufwandskonto,Steuerlich nicht abzugsfähiger Teil der Kosten für ein häusliches Arbeitszimmer.,,,,,Nein,,,8. Sonstige betriebliche Aufwendungen (Korrekturposten)
4290,Grundstücksaufwendungen betrieblich,Betriebsausgabe,Raumkosten,Aufwandskonto,Laufende Aufwendungen für betriebliche Grundstücke (ohne Gebäude).,1600,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
4300,Nicht abziehbare Vorsteuer (Aufw.),Betriebsausgabe,Betriebliche Steuern,Aufwandskonto,"Vorsteuer, die nicht abzugsfähig ist und als separater Aufwand gebucht wird.",,,,"Steuern, Versicherungen und Beiträge",Nein,,,8. Sonstige betriebliche Aufwendungen
4301,Nicht abziehbare Vorsteuer 7% (Aufw.),Betriebsausgabe,Betriebliche Steuern,Aufwandskonto,"Wie 4300, für den ermäßigten Satz.",,,,"Steuern, Versicherungen und Beiträge",Nein,,,8. Sonstige betriebliche Aufwendungen
4306,Nicht abziehbare Vorsteuer 19% (Aufw.),Betriebsausgabe,Betriebliche Steuern,Aufwandskonto,"Wie 4300, für den Regelsatz.",,,,"Steuern, Versicherungen und Beiträge",Nein,,,8. Sonstige betriebliche Aufwendungen
4320,Gewerbesteuervorauszahlung,Betriebsausgabe,Steuern v. Einkommen/Ertrag,Aufwandskonto,Gewerbesteueraufwand des laufenden Jahres (bei KapGes). Ist steuerlich nicht abzugsfähig.,1736,,,,Nein,,,17. Steuern vom Einkommen und vom Ertrag
4340,Sonstige Betriebssteuern,Betriebsausgabe,Betriebliche Steuern,Aufwandskonto,"Betrieblich veranlasste Steuern, die keine Personen- oder Verbrauchssteuern sind.",1736,,,"Steuern, Versicherungen und Beiträge",Nein,,,8. Sonstige betriebliche Aufwendungen
4350,Verbrauchsteuer,Betriebsausgabe,Betriebliche Steuern,Aufwandskonto,"Aufwand für betriebliche Verbrauchssteuern (z.B. Energiesteuer, Kaffeesteuer).",1747,,,"Steuern, Versicherungen und Beiträge",Nein,,,8. Sonstige betriebliche Aufwendungen
4360,Versicherungen,Betriebsausgabe,Versicherungen/Beiträge,Aufwandskonto,"Beiträge für betriebliche Versicherungen (z.B. Haftpflicht, Gebäude, Inhaltsversicherung).",1600,,,"Steuern, Versicherungen und Beiträge",Nein,,,8. Sonstige betriebliche Aufwendungen
4380,Sonstige Beiträge,Betriebsausgabe,Versicherungen/Beiträge,Aufwandskonto,"Beiträge an Kammern (IHK, HWK), Verbände etc.",1600,,,"Steuern, Versicherungen und Beiträge",Nein,,,8. Sonstige betriebliche Aufwendungen
4390,Sonstige Abgaben,Betriebsausgabe,Betriebliche Steuern,Aufwandskonto,"Sonstige öffentlich-rechtliche Abgaben (z.B. GEZ, Schwerbehindertenabgabe).",1600,,,"Steuern, Versicherungen und Beiträge",Nein,,,8. Sonstige betriebliche Aufwendungen
4396,Steuerlich abzugsfähige Verspätungszuschläge und Zwangsgelder,Betriebsausgabe,Betriebliche Steuern,Aufwandskonto,Zuschläge zu abzugsfähigen Steuern (z.B. USt).,1736,,,"Steuern, Versicherungen und Beiträge",Nein,,,8. Sonstige betriebliche Aufwendungen
4397,Nicht abzugsf. Verspätungszuschlag und Zwangsgelder,Betriebsausgabe,Nicht abzugsfähige Betriebsausgaben,Aufwandskonto,"Zuschläge zu nicht abzugsfähigen Steuern (z.B. GewSt, KSt).",1736,,,"Steuern, Versicherungen und Beiträge",Nein,,,8. Sonstige betriebliche Aufwendungen (Korrekturposten)
4500,Fahrzeugkosten,Betriebsausgabe,Kfz-Kosten,Aufwandskonto,Sammelkonto für Fahrzeugkosten.,,,,Kraftfahrzeugkosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4510,Kfz - Steuern,Betriebsausgabe,Kfz-Kosten,Aufwandskonto,Kraftfahrzeugsteuer für betriebliche Fahrzeuge.,1736,,,Kraftfahrzeugkosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4520,Kfz - Versicherungen,Betriebsausgabe,Kfz-Kosten,Aufwandskonto,Haftpflicht- und Kaskoversicherungen für betriebliche Fahrzeuge.,1600,,,Kraftfahrzeugkosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4530,Laufende Kfz - Betriebskosten,Betriebsausgabe,Kfz-Kosten,Aufwandskonto,"Kraftstoff, Öl, Wagenpflege etc.",1600,,,Kraftfahrzeugkosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4540,Kfz - Reparaturen,Betriebsausgabe,Kfz-Kosten,Aufwandskonto,Reparaturen und Inspektionen an betrieblichen Fahrzeugen.,1600,,,Kraftfahrzeugkosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4560,Mautgebühren,Betriebsausgabe,Kfz-Kosten,Aufwandskonto,Straßennutzungsgebühren für LKW und PKW.,1600,,,Kraftfahrzeugkosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4580,"Sonstige Kfz-Kosten (z.B. Reinigung, Parken)",Betriebsausgabe,Kfz-Kosten,Aufwandskonto,"Parkgebühren, ADAC-Beiträge, Zubehör etc.",1600,,,Kraftfahrzeugkosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4590,Kfz-Kosten für betrieblich genutzte zum Privatvermögen gehörende Kraftfahrzeuge,Betriebsausgabe,Kfz-Kosten,Aufwandskonto,Erstattung von Kosten an den Unternehmer für die Nutzung seines Privat-PKW (keine pauschale km-Erstattung).,1890,,,Kraftfahrzeugkosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4595,Fremdfahrzeugkosten,Betriebsausgabe,Kfz-Kosten,Aufwandskonto,"Kosten für Mietwagen, Car-Sharing etc.",1600,,,Kraftfahrzeugkosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4600,Werbekosten,Betriebsausgabe,Werbe-/Reisekosten,Aufwandskonto,"Anzeigen, Prospekte, Werbeagenturen, Messestände etc.",1600,,,Werbe- und Reisekosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4605,Streuartikel,Betriebsausgabe,Werbe-/Reisekosten,Aufwandskonto,"Werbeartikel mit geringem Wert (z.B. Kugelschreiber, Kalender).",1600,,,Werbe- und Reisekosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4630,Geschenke bis 50 Euro,Betriebsausgabe,Werbe-/Reisekosten,Aufwandskonto,Steuerlich abzugsfähige Geschenke an Geschäftsfreunde (Wertgrenze beachten).,1600,,,Werbe- und Reisekosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4631,Geschenke abzugsfähig mit § 37b EStG,Betriebsausgabe,Werbe-/Reisekosten,Aufwandskonto,"Abzugsfähige Geschenke, für die die Pauschalversteuerung nach §37b EStG gewählt wurde.",1600,,,Werbe- und Reisekosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4632,Pauschale Steuer für Geschenke und Zuwendungen abzugsfähig,Betriebsausgabe,Betriebliche Steuern,Aufwandskonto,Pauschalsteuer nach §37b EStG für abzugsfähige Geschenke.,1741,,,Werbe- und Reisekosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4635,Geschenke über 50 Euro,Betriebsausgabe,Nicht abzugsfähige Betriebsausgaben,Aufwandskonto,Steuerlich nicht abzugsfähige Geschenke an Geschäftsfreunde (Wertgrenze überschritten).,1600,,,Werbe- und Reisekosten,Nein,,,8. Sonstige betriebliche Aufwendungen (Korrekturposten)
4636,Geschenke nicht abzugsfähig mit § 37b EStG,Betriebsausgabe,Nicht abzugsfähige Betriebsausgaben,Aufwandskonto,"Nicht abzugsfähige Geschenke, für die die Pauschalversteuerung gewählt wurde.",1600,,,Werbe- und Reisekosten,Nein,,,8. Sonstige betriebliche Aufwendungen (Korrekturposten)
4637,Pauschale Steuer für Geschenke und Zuwendungen nicht abzugsfähig,Betriebsausgabe,Nicht abzugsfähige Betriebsausgaben,Aufwandskonto,Pauschalsteuer nach §37b EStG für nicht abzugsfähige Geschenke.,1741,,,Werbe- und Reisekosten,Nein,,,8. Sonstige betriebliche Aufwendungen (Korrekturposten)
4638,Geschenke ausschließlich betrieblich genutzt,Betriebsausgabe,Werbe-/Reisekosten,Aufwandskonto,"Geschenke an Arbeitnehmer, die als Arbeitslohn gelten, oder Sachprämien.",1600,,,Werbe- und Reisekosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4639,Zugaben mit § 37b EStG,Betriebsausgabe,Werbe-/Reisekosten,Aufwandskonto,"Sachzugaben, für die die Pauschalversteuerung nach §37b EStG gewählt wurde.",1600,,,Werbe- und Reisekosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4640,Repräsentationskosten,Betriebsausgabe,Werbe-/Reisekosten,Aufwandskonto,"Kosten der betrieblichen Darstellung nach außen (z.B. Empfänge, Dekoration).",1600,,,Werbe- und Reisekosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4650,Bewirtungskosten,Betriebsausgabe,Werbe-/Reisekosten,Aufwandskonto,Aufwand für die Bewirtung von Geschäftsfreunden (Bruttobetrag). Der nicht abzugsfähige Anteil wird separat gebucht.,1600,,,Werbe- und Reisekosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4651,Sonstige eingeschränkt abziehbare Betriebsausgaben (abziehbarer Anteil),Betriebsausgabe,Sonstige Kosten,Aufwandskonto,"Abzugsfähiger Anteil von z.B. Jagd, Fischerei, Segelyachten.",1600,,,Werbe- und Reisekosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4652,Sonstige eingeschränkt abziehbare Betriebsausgaben (nicht abziehbarer Anteil),Betriebsausgabe,Nicht abzugsfähige Betriebsausgaben,Aufwandskonto,"Nicht abzugsfähiger Anteil von z.B. Jagd, Fischerei, Segelyachten.",,,,Neutrale Aufwendungen,Nein,,,8. Sonstige betriebliche Aufwendungen (Korrekturposten)
4653,"Aufmerksamkeiten, betrieblich veranlasste Bewirtung (100% abzugsfähig)",Betriebsausgabe,Werbe-/Reisekosten,Aufwandskonto,Kaffee/Gebäck für Kunden,1600,,,Werbe- und Reisekosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4654,Nicht abzugsfähige Bewirtungskosten,Betriebsausgabe,Nicht abzugsfähige Betriebsausgaben,Aufwandskonto,"30% der Nettobewirtungskosten, die steuerlich nicht abzugsfähig sind.",,,,Neutrale Aufwendungen,Nein,,,8. Sonstige betriebliche Aufwendungen (Korrekturposten)
4655,"Geldbußen, Ordnungsgelder und Verwarnungsgelder",Betriebsausgabe,Nicht abzugsfähige Betriebsausgaben,Aufwandskonto,Steuerlich nicht abzugsfähige Strafzahlungen.,1200,,,Neutrale Aufwendungen,Nein,,,8. Sonstige betriebliche Aufwendungen (Korrekturposten)
4660,Reisekosten Arbeitnehmer,Betriebsausgabe,Werbe-/Reisekosten,Aufwandskonto,Sammelkonto für Reisekosten von Mitarbeitern.,,,,Werbe- und Reisekosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4663,Reisekosten Arbeitnehmer Fahrtkosten,Betriebsausgabe,Werbe-/Reisekosten,Aufwandskonto,"Erstattung von Tickets für Bahn, Flug etc. an Arbeitnehmer.",1740,,,Werbe- und Reisekosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4664,Reisekosten Arbeitnehmer Verpflegungsmehraufwand,Betriebsausgabe,Werbe-/Reisekosten,Aufwandskonto,Erstattung von Verpflegungspauschalen an Arbeitnehmer im Rahmen der steuerlichen Grenzen.,1740,,,Werbe- und Reisekosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4666,Reisekosten Arbeitnehmer Übernachtungsaufwand,Betriebsausgabe,Werbe-/Reisekosten,Aufwandskonto,Erstattung von Hotelkosten an Arbeitnehmer.,1740,,,Werbe- und Reisekosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4668,Reisekosten Arbeitnehmer Kilometergelderstattung,Betriebsausgabe,Werbe-/Reisekosten,Aufwandskonto,Steuerfreie Erstattung von Kilometerpauschalen für Dienstreisen mit dem Privat-PKW.,1740,,,Werbe- und Reisekosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4670,Reisekosten Unternehmer,Betriebsausgabe,Werbe-/Reisekosten,Aufwandskonto,Sammelkonto für Reisekosten des Unternehmers/Gesellschafters.,,,,Werbe- und Reisekosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4672,Reisekosten Unternehmer (nicht abziehbarer Anteil),Betriebsausgabe,Nicht abzugsfähige Betriebsausgaben,Aufwandskonto,Nicht abzugsfähiger Teil der Reisekosten bei gemischt veranlassten Reisen.,,,,Neutrale Aufwendungen,Nein,,,8. Sonstige betriebliche Aufwendungen (Korrekturposten)
4673,Reisekosten Unternehmer Fahrtkosten,Betriebsausgabe,Werbe-/Reisekosten,Aufwandskonto,"Fahrtkosten des Unternehmers (Bahn, Flug etc.).",1890,,,Werbe- und Reisekosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4674,"Reisekosten Unternehmer, Verpflegungsmehraufwand",Betriebsausgabe,Werbe-/Reisekosten,Aufwandskonto,Abzugsfähige Verpflegungspauschalen für den Unternehmer.,1890,,,Werbe- und Reisekosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4676,Reisekosten Unternehmer Übernachtungsaufwand und Reisenebenkosten,Betriebsausgabe,Werbe-/Reisekosten,Aufwandskonto,"Hotelkosten und sonstige Nebenkosten (Parken, Telefon) auf Reisen des Unternehmers.",1890,,,Werbe- und Reisekosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4678,Reisekosten Unternehmer Kilometergelderstattung,Betriebsausgabe,Werbe-/Reisekosten,Aufwandskonto,Pauschaler Ansatz für die Nutzung des Privat-PKW des Unternehmers für betriebliche Fahrten.,1890,,,Werbe- und Reisekosten,Nein,,,8. Sonstige betriebliche Aufwendungen
4679,Fahrten zwischen Wohnung und Betriebsstätte und Heimfahrten (nicht abziehbarer Anteil),Betriebsausgabe,Nicht abzugsfähige Betriebsausgaben,Aufwandskonto,"Korrektur der über die Entfernungspauschale hinausgehenden, als Betriebsausgabe gebuchten Kosten.",,,,Neutrale Aufwendungen,Nein,,,8. Sonstige betriebliche Aufwendungen (Korrekturposten)
4680,Fahrten zwischen Wohnung und Betriebsstätte und Heimfahrten (Haben),Betriebsausgabe,Sonstige Kosten,Aufwandskonto,Gegenkonto zur Verrechnung der tatsächlichen Kosten für Fahrten Wohnung-Betriebsstätte.,,,,Werbe- und Reisekosten,Nein,,,8. Sonstige betriebliche Aufwendungen (Korrekturposten)
4700,Vertriebskosten,Betriebsausgabe,Kosten Warenabgabe,Aufwandskonto,Sammelkonto für Vertriebskosten.,1600,,,Kosten der Warenabgabe,Nein,,,8. Sonstige betriebliche Aufwendungen
4710,Verpackungsmaterial,Betriebsausgabe,Kosten Warenabgabe,Aufwandskonto,Aufwand für Verkaufsverpackungen.,1600,,,Kosten der Warenabgabe,Nein,,,8. Sonstige betriebliche Aufwendungen
4780,Fremdleistungen (Marketing und Vertrieb),Betriebsausgabe,Kosten Warenabgabe,Aufwandskonto,"Kosten für externe Vertriebspartner, Provisionen etc.",1600,,,Kosten der Warenabgabe,Nein,,,8. Sonstige betriebliche Aufwendungen
4800,Reparaturen und Instandhaltungen von technischen Anlagen und Maschinen,Betriebsausgabe,Reparatur/Instandhaltung,Aufwandskonto,Laufende Instandhaltung von Produktionsanlagen.,1600,,,Instandhaltung und Werkzeuge,Nein,,,8. Sonstige betriebliche Aufwendungen
